feature,importance
weather_mismatch_ratio,0.27814898394493653
expected_gap_pct,0.20426036395311511
cv_consumption,0.14071243959245783
low_expected_ratio,0.09419626993335493
peer_low_gap_pct,0.08056134967863804
avg_consumption,0.0772085365175772
kwh_per_sqm,0.040674146330011894
sudden_drop_days,0.030106325355065817
kwh_per_person,0.02691012566970848
std_consumption,0.021596268244605383
avg_weather_demand_pressure,0.001794741826412714
area_sqm,0.0012468054121073757
zero_ratio,0.0008690389753135294
contracted_power_kw,0.0007732235498805553
household_size,0.0004671500314169945
floor,0.0004670945716574127
flatline_ratio,7.1364137401388925e-06
